Total_Stops,Price,Duration_hours,Duration_minutes,month,day,Indigo,Air India,Jet Airways,SpiceJet,Multiple carriers,GoAir,Vistara,Air Asia
3,14924,11,55,3,6,0,0,0,0,1,0,0,0
3,9646,11,5,5,21,0,0,0,0,0,1,0,0
3,8714,8,30,3,15,0,1,0,0,0,0,0,0
3,12373,22,5,5,18,0,0,0,0,1,0,0,0
4,3383,2,45,6,5,1,0,0,0,0,0,0,0
3,13062,12,0,3,21,0,0,0,0,0,1,0,0
4,3527,2,50,3,24,0,0,0,0,0,0,1,0
4,3943,2,50,5,27,0,0,0,1,0,0,0,0
4,4667,2,15,3,5,0,1,0,0,0,0,0,0
3,6117,16,5,5,15,0,1,0,0,0,0,0,0
2,11150,19,55,6,27,0,0,0,0,1,0,0,0
4,7202,3,15,9,3,0,0,0,0,1,0,0,0
3,12121,25,20,1,5,0,0,0,0,1,0,0,0
4,4377,2,50,3,24,0,0,0,1,0,0,0,0
4,3943,3,0,6,18,0,0,0,1,0,0,0,0
4,4483,2,50,3,4,1,0,0,0,0,0,0,0
3,14231,16,15,3,24,0,0,0,0,1,0,0,0
2,17345,15,5,1,3,0,1,0,0,0,0,0,0
4,7414,2,15,6,3,0,0,0,0,0,0,0,1
3,8073,6,30,6,5,0,0,0,0,0,1,0,0
3,12395,25,5,6,3,0,0,0,0,0,0,0,1
3,8366,12,25,6,6,0,1,0,0,0,0,0,0
3,5117,27,20,3,4,0,1,0,0,0,0,0,0
3,12524,10,15,3,6,0,0,0,0,0,1,0,0
3,7191,10,30,5,15,0,0,0,1,0,0,0,0
4,3687,2,15,5,24,0,0,0,0,0,0,0,1
3,5894,10,25,6,24,0,0,0,1,0,0,0,0
4,5403,2,50,4,24,0,0,0,0,0,0,0,1
4,3625,1,30,6,5,0,1,0,0,0,0,0,0
2,10861,13,20,5,21,0,1,0,0,0,0,0,0
4,6297,2,15,12,3,0,0,0,1,0,0,0,0
4,5678,1,25,1,6,0,0,0,0,1,0,0,0
3,9134,26,30,9,3,0,0,0,0,1,0,0,0
3,10791,7,20,6,24,0,0,0,0,0,1,0,0
2,12819,13,30,6,24,0,0,0,0,1,0,0,0
3,6893,5,0,3,21,0,0,0,1,0,0,0,0
4,7240,2,45,9,3,0,0,0,0,0,0,0,1
4,3898,2,50,3,4,0,0,1,0,0,0,0,0
4,4049,1,30,3,4,0,0,0,1,0,0,0,0
3,10262,19,5,6,15,0,0,0,0,1,0,0,0
4,3332,2,15,3,21,0,0,0,0,0,0,1,0
3,10844,14,50,9,6,0,0,0,0,1,0,0,0
4,7229,2,40,3,24,0,0,0,0,1,0,0,0
3,13941,22,10,6,5,0,0,0,0,1,0,0,0
3,5894,9,35,6,27,0,0,0,1,0,0,0,0
3,10197,10,0,5,18,0,0,0,0,0,1,0,0
3,13712,21,20,6,3,0,0,0,0,1,0,0,0
3,5636,5,25,6,24,0,0,0,1,0,0,0,0
2,13014,18,45,6,6,0,0,0,0,1,0,0,0
3,7064,12,20,1,4,0,0,0,0,1,0,0,0
3,10703,18,0,5,24,0,0,0,0,1,0,0,0
3,9646,9,15,5,27,0,0,0,0,0,1,0,0
3,17057,11,5,6,3,0,0,0,0,0,1,0,0
3,13817,17,30,12,3,0,0,0,0,1,0,0,0
2,13748,13,20,6,3,0,1,0,0,0,0,0,0
4,4880,2,35,4,21,0,1,0,0,0,0,0,0
4,3540,2,25,6,21,0,0,0,1,0,0,0,0
4,3257,2,40,5,15,0,0,0,0,0,0,1,0
4,6478,3,0,3,6,0,0,0,0,1,0,0,0
4,8040,1,25,6,18,0,0,0,0,1,0,0,0
2,14300,16,35,12,6,0,0,0,0,1,0,0,0
3,14781,12,20,5,15,0,0,0,0,1,0,0,0
3,14939,12,15,9,6,0,0,0,0,1,0,0,0
3,10262,7,30,6,24,0,0,0,0,1,0,0,0
3,6528,24,0,12,5,0,1,0,0,0,0,0,0
4,6121,2,45,1,5,0,1,0,0,0,0,0,0
2,13029,8,55,5,18,0,0,0,0,1,0,0,0
3,11421,7,10,3,27,0,0,0,0,0,1,0,0
3,7574,14,30,3,27,0,0,0,0,0,1,0,0
2,11596,30,20,9,5,0,1,0,0,0,0,0,0
2,15129,19,55,5,24,0,0,0,0,1,0,0,0
3,13555,15,0,3,18,0,0,0,0,1,0,0,0
4,5780,2,55,12,4,0,0,0,1,0,0,0,0
3,9397,12,45,12,5,0,0,0,0,0,0,0,1
3,17024,10,10,6,3,0,0,0,0,1,0,0,0
3,5281,5,55,6,27,0,0,1,0,0,0,0,0
3,10348,15,25,5,18,0,0,0,0,0,1,0,0
3,12677,16,5,6,3,0,1,0,0,0,0,0,0
3,15147,10,10,3,3,0,0,0,0,0,1,0,0
4,4668,2,40,12,6,0,0,0,0,0,0,0,1
3,15554,11,55,9,5,0,0,0,0,1,0,0,0
4,3971,2,40,9,4,0,0,0,0,0,0,1,0
4,3100,1,25,3,5,0,1,0,0,0,0,0,0
3,9663,14,5,6,5,0,0,0,0,1,0,0,0
3,27430,20,15,1,3,0,1,0,0,0,0,0,0
4,3540,2,25,12,5,0,0,0,1,0,0,0,0
2,10676,23,10,5,21,0,1,0,0,0,0,0,0
3,13044,18,10,12,6,0,0,0,0,1,0,0,0
3,14388,16,0,6,5,0,0,0,0,1,0,0,0
4,3943,2,50,6,24,0,0,0,1,0,0,0,0
4,3597,2,20,3,6,0,0,0,1,0,0,0,0
3,5932,8,0,3,21,0,1,0,0,0,0,0,0
3,10262,16,55,6,15,0,0,0,0,1,0,0,0
4,6216,3,10,12,5,0,0,0,0,0,0,0,1
4,4804,2,45,6,15,0,0,0,1,0,0,0,0
3,14067,14,0,5,21,0,0,0,0,0,1,0,0
2,15129,23,50,5,18,0,0,0,0,1,0,0,0
2,13376,21,40,6,6,0,0,0,0,1,0,0,0
2,10441,21,15,6,27,0,1,0,0,0,0,0,0
4,4030,2,45,5,24,0,0,0,0,1,0,0,0
3,17024,10,50,3,3,0,0,0,0,1,0,0,0
3,13017,8,0,9,4,0,0,0,0,0,1,0,0
3,6686,8,15,6,6,0,0,1,0,0,0,0,0
3,5636,5,25,6,15,0,0,0,1,0,0,0,0
3,6442,8,35,9,6,0,0,0,1,0,0,0,0
3,9486,11,50,5,21,0,0,0,0,0,1,0,0
3,10844,27,35,5,21,0,0,0,0,1,0,0,0
2,15318,8,25,3,6,0,0,0,0,1,0,0,0
3,5117,20,55,3,4,0,1,0,0,0,0,0,0
3,6147,4,50,6,24,0,0,0,1,0,0,0,0
3,7005,8,10,9,6,0,0,0,0,0,1,0,0
4,3873,2,20,3,4,0,0,0,0,0,0,1,0
2,9270,24,25,3,21,0,0,0,0,1,0,0,0
4,3898,2,50,6,27,0,0,1,0,0,0,0,0
3,14781,12,20,12,5,0,0,0,0,1,0,0,0
3,8586,12,15,5,24,0,0,0,0,1,0,0,0
2,10697,23,35,9,5,0,1,0,0,0,0,0,0
2,14300,16,35,6,27,0,0,0,0,1,0,0,0
4,8855,2,50,3,3,0,0,0,1,0,0,0,0
3,10844,25,45,12,5,0,0,0,0,1,0,0,0
3,17024,26,10,6,3,0,0,0,0,1,0,0,0
3,9314,28,50,1,5,0,0,0,0,1,0,0,0
4,4777,2,45,3,24,0,0,0,1,0,0,0,0
3,7662,25,15,9,6,0,1,0,0,0,0,0,0
3,6442,9,20,9,5,0,0,0,1,0,0,0,0
3,5264,4,30,12,6,0,0,0,0,0,0,1,0
3,12898,15,25,5,27,0,0,0,0,1,0,0,0
4,6092,1,30,3,3,0,1,0,0,0,0,0,0
4,3311,2,40,5,21,0,0,0,0,0,0,1,0
3,6540,9,10,3,27,0,0,0,0,1,0,0,0
4,3419,2,45,5,27,0,0,0,1,0,0,0,0
3,5177,22,35,3,4,0,0,0,0,1,0,0,0
4,8246,3,5,4,18,0,1,0,0,0,0,0,0
3,14676,11,30,9,6,0,0,0,0,1,0,0,0
3,13587,9,30,6,27,0,0,0,0,0,1,0,0
3,9663,12,10,6,5,0,0,0,0,1,0,0,0
3,13044,17,35,12,6,0,0,0,0,1,0,0,0
3,5073,5,5,3,4,0,0,0,1,0,0,0,0
3,9345,25,50,5,21,0,0,0,0,0,0,0,1
3,9663,20,0,6,5,0,0,0,0,1,0,0,0
3,14277,13,0,5,21,0,0,0,0,0,1,0,0
3,10262,18,25,1,6,0,0,0,0,1,0,0,0
4,5678,1,30,3,27,0,0,0,0,1,0,0,0
3,13727,9,30,5,15,0,0,0,0,0,1,0,0
3,9663,16,0,6,5,0,0,0,0,1,0,0,0
4,3858,2,20,12,5,0,0,0,1,0,0,0,0
3,4812,4,30,6,24,0,0,0,0,0,0,1,0
3,5775,5,45,6,27,0,0,0,1,0,0,0,0
3,10539,24,10,6,6,0,0,0,0,1,0,0,0
4,4804,2,35,3,6,0,0,0,1,0,0,0,0
4,3383,2,45,12,6,1,0,0,0,0,0,0,0
3,8738,4,55,3,3,0,0,0,1,0,0,0,0
3,7165,25,35,3,27,0,1,0,0,0,0,0,0
3,6412,6,20,6,24,0,0,0,1,0,0,0,0
4,8016,3,5,6,27,0,0,0,0,1,0,0,0
3,11087,18,40,12,3,0,0,0,0,1,0,0,0
4,3543,2,15,6,27,0,0,0,0,0,0,1,0
3,12471,12,10,12,6,0,0,0,0,1,0,0,0
3,10262,19,25,6,24,0,0,0,0,1,0,0,0
4,4441,2,50,3,18,0,1,0,0,0,0,0,0
3,12537,8,25,3,27,0,0,0,0,0,1,0,0
3,10091,9,15,3,24,0,0,1,0,0,0,0,0
4,6961,2,50,3,6,0,1,0,0,0,0,0,0
4,5013,3,15,4,24,0,0,0,1,0,0,0,0
4,6934,2,50,5,18,0,1,0,0,0,0,0,0
3,10877,12,20,3,6,0,0,0,0,0,1,0,0
4,7229,2,55,4,18,0,0,0,0,1,0,0,0
3,7048,9,35,3,27,0,0,0,1,0,0,0,0
4,4878,2,35,6,27,0,0,0,0,0,0,0,1
3,10844,9,30,5,21,0,0,0,0,1,0,0,0
2,15129,29,20,5,18,0,0,0,0,1,0,0,0
4,3943,2,55,12,5,0,0,0,1,0,0,0,0
3,5583,5,15,6,6,0,0,0,0,0,0,1,0
3,9646,9,5,6,6,0,0,0,0,0,1,0,0
3,7677,10,45,3,6,0,0,0,0,0,1,0,0
3,6842,4,55,1,6,0,0,0,1,0,0,0,0
4,4995,1,30,6,24,0,0,0,0,1,0,0,0
3,9555,11,40,9,6,0,0,0,0,0,0,0,1
4,4077,2,45,1,6,0,0,0,1,0,0,0,0
4,7229,2,55,12,5,0,0,0,0,1,0,0,0
3,12192,10,0,9,6,0,0,0,0,0,1,0,0
4,5911,2,45,12,4,0,1,0,0,0,0,0,0
3,8372,10,15,12,6,0,1,0,0,0,0,0,0
4,4995,1,25,3,18,0,0,0,0,1,0,0,0
3,14323,9,15,9,5,0,0,0,0,0,1,0,0
2,13014,22,55,9,6,0,0,0,0,1,0,0,0
2,13591,28,50,6,6,0,1,0,0,0,0,0,0
2,18799,37,25,3,3,0,0,0,0,1,0,0,0
4,3943,2,50,4,27,0,0,0,1,0,0,0,0
4,1965,1,30,5,21,0,0,0,0,0,0,1,0
4,4995,1,30,5,27,0,0,0,0,1,0,0,0
3,14641,25,40,3,24,0,1,0,0,0,0,0,0
4,4460,2,35,12,4,0,1,0,0,0,0,0,0
3,10191,6,15,5,18,0,1,0,0,0,0,0,0
3,13843,17,30,9,3,0,0,0,0,1,0,0,0
3,6349,5,45,1,5,0,0,0,1,0,0,0,0
4,4409,2,35,1,5,1,0,0,0,0,0,0,0
3,17024,25,30,6,3,0,0,0,0,1,0,0,0
3,13727,13,55,5,18,0,0,0,0,0,1,0,0
4,8855,2,55,3,15,0,0,0,1,0,0,0,0
3,12524,10,15,6,24,0,0,0,0,0,1,0,0
3,13555,8,40,3,18,0,0,0,0,1,0,0,0
3,10844,5,30,6,6,0,0,0,0,1,0,0,0
3,13587,12,0,9,6,0,0,0,0,0,1,0,0
4,3543,2,15,12,6,0,0,0,0,0,0,1,0
4,4842,2,15,3,18,0,0,0,0,0,0,0,1
4,3943,2,50,4,24,0,0,0,1,0,0,0,0
3,10577,9,10,9,6,0,0,0,0,1,0,0,0
3,6979,10,25,5,15,0,0,0,1,0,0,0,0
4,11982,2,20,6,27,0,0,0,0,0,0,0,1
3,5264,4,30,6,6,0,0,0,0,0,0,1,0
4,8001,3,10,3,3,0,0,0,0,0,0,0,1
2,10651,23,30,1,6,0,1,0,0,0,0,0,0
3,10844,27,20,5,24,0,0,0,0,1,0,0,0
3,6601,12,35,3,27,0,0,0,0,0,1,0,0
3,6587,24,15,3,21,0,1,0,0,0,0,0,0
4,3173,1,20,3,21,0,0,0,0,0,0,1,0
4,5228,2,45,9,5,0,1,0,0,0,0,0,0
4,5769,3,0,6,21,0,0,0,0,1,0,0,0
3,14714,11,0,6,6,0,0,0,0,1,0,0,0
2,13014,13,30,3,6,0,0,0,0,1,0,0,0
4,3359,2,50,3,6,0,0,0,1,0,0,0,0
4,6722,2,55,3,3,0,0,1,0,0,0,0,0
4,4462,2,45,3,18,0,0,0,1,0,0,0,0
3,6171,11,15,9,3,0,0,0,1,0,0,0,0
2,12303,14,35,5,21,0,1,0,0,0,0,0,0
3,7695,13,55,3,21,0,0,0,0,0,1,0,0
3,5684,14,5,6,24,0,0,0,1,0,0,0,0
3,8366,15,5,12,6,0,1,0,0,0,0,0,0
4,19630,2,15,1,3,0,1,0,0,0,0,0,0
3,13502,15,0,6,3,0,0,0,0,1,0,0,0
3,14781,12,55,1,5,0,0,0,0,1,0,0,0
3,6513,9,0,12,6,0,0,0,0,0,1,0,0
3,9929,12,15,1,6,0,1,0,0,0,0,0,0
2,18275,7,40,6,6,0,0,0,0,0,1,0,0
3,4487,27,20,9,4,0,1,0,0,0,0,0,0
4,2754,1,25,3,15,0,0,0,1,0,0,0,0
4,2575,1,20,3,27,0,1,0,0,0,0,0,0
3,8224,5,30,12,6,0,0,0,0,0,0,1,0
3,8991,11,45,9,3,0,1,0,0,0,0,0,0
4,5000,3,15,6,24,0,0,0,1,0,0,0,0
3,8529,24,55,12,6,0,0,0,0,1,0,0,0
3,14042,27,20,3,3,0,1,0,0,0,0,0,0
4,4030,2,55,5,24,0,0,0,0,1,0,0,0
3,10844,17,5,6,6,0,0,0,0,1,0,0,0
4,4804,2,40,6,5,0,0,0,1,0,0,0,0
3,7308,8,0,5,27,0,0,0,0,0,1,0,0
4,4823,3,0,12,5,0,0,0,1,0,0,0,0
3,10262,27,35,6,24,0,0,0,0,1,0,0,0
3,12898,7,30,5,27,0,0,0,0,1,0,0,0
2,12778,22,55,12,3,0,1,0,0,0,0,0,0
3,14871,8,35,3,3,0,0,0,1,0,0,0,0
2,8708,29,55,3,21,0,1,0,0,0,0,0,0
3,10844,22,15,6,6,0,0,0,0,1,0,0,0
4,4129,1,20,6,3,0,0,0,0,0,0,1,0
4,4804,2,40,5,18,0,0,0,1,0,0,0,0
4,7229,3,0,6,5,0,0,0,0,1,0,0,0
3,7832,12,10,3,21,0,0,0,0,1,0,0,0
4,3859,2,35,3,18,0,0,0,0,0,0,1,0
3,9001,11,45,6,6,0,0,0,0,0,1,0,0
4,4878,2,35,9,5,0,0,0,0,0,0,0,1
4,2754,1,30,3,5,0,0,0,1,0,0,0,0
4,4668,2,40,6,27,0,0,0,0,0,0,0,1
4,5216,2,35,12,5,1,0,0,0,0,0,0,0
2,10368,22,55,6,6,0,0,0,0,1,0,0,0
2,8146,14,40,9,3,0,0,0,1,0,0,0,0
3,12242,15,25,3,27,0,0,0,0,1,0,0,0
3,9134,7,15,3,15,0,0,0,0,1,0,0,0
2,10939,20,10,6,6,0,1,0,0,0,0,0,0
2,11753,20,45,6,6,0,1,0,0,0,0,0,0
4,4174,2,30,4,24,0,0,0,0,0,0,1,0
3,10844,23,50,5,21,0,0,0,0,1,0,0,0
3,14714,27,0,3,6,0,0,0,0,1,0,0,0
3,9899,5,30,12,6,0,0,0,0,1,0,0,0
3,14871,11,50,3,3,0,0,0,1,0,0,0,0
4,7295,2,15,6,3,0,0,0,1,0,0,0,0
2,13465,24,30,6,6,0,1,0,0,0,0,0,0
4,3543,2,20,5,21,0,0,0,0,0,0,1,0
3,7198,6,30,6,27,0,0,0,0,0,1,0,0
3,10262,20,25,1,6,0,0,0,0,1,0,0,0
4,4148,2,35,3,15,0,0,0,1,0,0,0,0
4,8016,2,55,6,27,0,0,0,0,1,0,0,0
3,10262,5,35,9,6,0,0,0,0,1,0,0,0
4,3841,2,30,6,15,0,0,0,0,0,0,1,0
3,11507,14,45,12,3,0,0,0,0,1,0,0,0
3,14781,12,20,1,5,0,0,0,0,1,0,0,0
3,16079,25,30,5,27,0,0,0,0,1,0,0,0
3,12898,5,35,5,27,0,0,0,0,1,0,0,0
3,15353,11,45,6,3,0,0,0,0,0,1,0,0
4,7303,2,55,3,24,0,0,0,1,0,0,0,0
3,6197,5,40,3,24,0,0,0,0,0,0,1,0
3,8996,4,5,9,6,0,1,0,0,0,0,0,0
3,6528,8,0,3,21,0,0,0,1,0,0,0,0
4,4239,2,45,9,4,0,0,1,0,0,0,0,0
4,4148,2,40,12,3,0,0,0,1,0,0,0,0
4,3971,2,55,5,24,0,0,0,0,0,0,1,0
3,5192,15,55,6,5,1,0,0,0,0,0,0,0
2,9483,23,10,9,4,0,0,0,0,1,0,0,0
2,18804,7,20,3,6,0,0,0,0,1,0,0,0
4,5201,2,50,6,18,0,1,0,0,0,0,0,0
3,16079,7,30,5,27,0,0,0,0,1,0,0,0
4,7229,3,0,6,15,0,0,0,0,1,0,0,0
3,6795,7,45,5,27,0,0,0,0,0,1,0,0
3,10953,25,20,9,5,0,0,0,0,1,0,0,0
2,15965,10,25,6,24,0,0,0,0,0,1,0,0
2,9968,30,20,9,4,0,1,0,0,0,0,0,0
4,4804,2,35,6,6,0,0,0,1,0,0,0,0
3,16079,9,0,5,27,0,0,0,0,1,0,0,0
2,11507,15,10,12,6,0,0,0,0,1,0,0,0
2,11542,28,20,9,6,0,1,0,0,0,0,0,0
4,7229,3,0,4,24,0,0,0,0,1,0,0,0
4,4544,2,45,4,27,0,0,0,0,1,0,0,0
3,6496,4,55,5,15,0,0,0,1,0,0,0,0
4,4804,2,40,6,15,0,0,0,1,0,0,0,0
3,13439,22,10,1,3,0,1,0,0,0,0,0,0
3,6540,10,10,3,27,0,0,0,0,1,0,0,0
4,4591,2,50,1,6,0,0,0,1,0,0,0,0
3,4437,4,20,3,18,0,0,0,1,0,0,0,0
3,6151,11,0,3,21,1,0,0,0,0,0,0,0
4,7754,3,0,6,21,0,0,0,0,1,0,0,0
3,10262,22,35,6,24,0,0,0,0,1,0,0,0
4,8016,3,5,9,6,0,0,0,0,1,0,0,0
4,4781,2,40,3,24,0,0,0,0,0,0,1,0
4,4668,2,50,6,27,0,0,0,0,0,0,0,1
3,14594,21,5,6,3,0,1,0,0,0,0,0,0
3,14231,11,50,3,24,0,0,0,0,1,0,0,0
3,8425,25,35,5,15,0,1,0,0,0,0,0,0
3,9646,15,25,12,6,0,0,0,0,0,1,0,0
4,7295,2,25,3,3,0,0,0,1,0,0,0,0
3,5162,3,40,9,4,1,0,0,0,0,0,0,0
4,6860,2,55,9,3,0,0,0,1,0,0,0,0
4,6216,3,10,4,15,0,0,0,0,0,0,0,1
3,5192,11,50,5,24,1,0,0,0,0,0,0,0
4,4823,2,50,9,4,0,0,0,1,0,0,0,0
4,3919,2,50,3,4,0,0,0,0,0,0,1,0
4,2754,1,30,3,6,0,0,0,1,0,0,0,0
3,9315,11,30,9,5,0,0,0,0,0,1,0,0
3,11667,8,50,3,27,0,0,0,0,0,1,0,0
3,6224,20,15,12,6,0,0,0,0,1,0,0,0
2,13349,20,10,3,24,0,1,0,0,0,0,0,0
3,11087,16,5,3,18,0,0,0,0,1,0,0,0
3,15603,12,35,6,3,0,0,0,0,0,1,0,0
2,15129,17,5,9,5,0,0,0,0,1,0,0,0
4,4823,3,0,9,4,0,0,0,1,0,0,0,0
3,8452,15,30,1,5,0,0,0,0,0,0,0,1
3,12524,11,30,6,6,0,0,0,0,0,1,0,0
4,3384,2,20,3,27,0,0,0,0,0,0,1,0
3,10262,23,45,1,6,0,0,0,0,1,0,0,0
4,1965,1,30,6,18,0,0,0,0,0,0,1,0
4,4804,2,35,5,18,0,0,0,1,0,0,0,0
3,16079,24,45,5,27,0,0,0,0,1,0,0,0
2,13292,21,35,1,6,0,0,0,0,1,0,0,0
3,6751,5,30,9,5,1,0,0,0,0,0,0,0
3,8669,12,15,5,15,0,1,0,0,0,0,0,0
3,14871,8,5,3,3,0,0,0,1,0,0,0,0
3,12898,5,0,5,21,0,0,0,0,1,0,0,0
4,3919,2,50,6,6,0,0,0,0,0,0,1,0
3,36983,6,25,1,3,0,0,0,0,0,1,0,0
4,3597,2,20,3,6,0,0,0,1,0,0,0,0
4,10741,2,45,9,3,0,1,0,0,0,0,0,0
2,11432,12,45,6,6,0,1,0,0,0,0,0,0
3,11087,15,50,12,3,0,0,0,0,1,0,0,0
2,13292,27,0,3,6,0,0,0,0,1,0,0,0
1,10493,26,25,6,15,0,1,0,0,0,0,0,0
4,7631,2,55,9,3,0,0,1,0,0,0,0,0
2,13381,24,50,6,6,0,1,0,0,0,0,0,0
3,13731,8,40,6,6,0,0,0,0,1,0,0,0
2,11911,25,45,5,21,0,1,0,0,0,0,0,0
4,4591,2,50,4,18,0,0,0,1,0,0,0,0
3,14848,6,15,3,6,0,0,0,0,0,1,0,0
3,8266,10,30,12,6,0,0,0,0,0,1,0,0
2,12392,26,0,5,18,0,1,0,0,0,0,0,0
3,13044,17,5,12,6,0,0,0,0,1,0,0,0
3,12898,21,20,5,21,0,0,0,0,1,0,0,0
3,12242,5,35,3,21,0,0,0,0,1,0,0,0
4,3943,2,50,5,18,0,0,0,1,0,0,0,0
3,11105,25,50,3,24,0,0,0,0,0,0,0,1
3,14388,12,10,12,5,0,0,0,0,1,0,0,0
2,13014,17,5,5,18,0,0,0,0,1,0,0,0
3,15411,8,30,6,3,0,0,0,0,0,1,0,0
3,16289,23,5,9,3,0,0,0,0,1,0,0,0
3,6442,9,20,5,15,0,0,0,1,0,0,0,0
3,10844,7,55,5,18,0,0,0,0,1,0,0,0
4,5678,1,30,5,18,0,0,0,0,1,0,0,0
4,6906,2,50,12,4,0,0,0,1,0,0,0,0
4,3543,2,15,5,21,0,0,0,0,0,0,1,0
3,14714,10,0,6,6,0,0,0,0,1,0,0,0
4,11793,2,35,3,3,0,0,0,0,0,0,0,1
3,14323,7,45,5,15,0,0,0,0,0,1,0,0
4,3971,2,55,9,4,0,0,0,0,0,0,1,0
3,8452,26,20,6,5,0,0,0,0,0,0,0,1
4,5403,2,40,12,4,0,0,0,0,0,0,0,1
3,13727,11,0,9,5,0,0,0,0,0,1,0,0
2,12639,19,25,1,4,0,1,0,0,0,0,0,0
4,5198,2,55,4,18,0,0,0,0,1,0,0,0
4,4878,2,45,1,6,0,0,0,0,0,0,0,1
3,12373,23,15,5,18,0,0,0,0,1,0,0,0
3,8552,9,0,3,3,0,0,0,0,0,1,0,0
4,6741,3,10,4,21,0,0,0,0,0,0,0,1
3,6481,6,25,9,4,0,0,0,0,0,1,0,0
3,7354,8,40,6,6,0,0,0,0,0,1,0,0
4,5228,2,50,4,21,0,1,0,0,0,0,0,0
3,10844,12,20,12,5,0,0,0,0,1,0,0,0
3,6347,5,20,5,18,0,0,0,1,0,0,0,0
3,5013,4,0,3,15,0,1,0,0,0,0,0,0
3,9663,9,45,9,6,0,0,0,0,1,0,0,0
4,4823,2,55,6,4,0,0,0,1,0,0,0,0
2,13381,26,20,6,24,0,1,0,0,0,0,0,0
4,3543,2,15,1,6,0,0,0,0,0,0,1,0
3,9663,9,45,5,15,0,0,0,0,1,0,0,0
3,7064,24,55,1,4,0,0,0,0,1,0,0,0
3,10262,11,55,9,6,0,0,0,0,1,0,0,0
2,13013,8,20,1,6,0,1,0,0,0,0,0,0
2,15339,17,25,6,27,0,0,0,0,1,0,0,0
4,4937,2,50,4,18,0,0,1,0,0,0,0,0
3,6818,7,5,6,6,0,0,0,1,0,0,0,0
2,10441,21,15,5,18,0,1,0,0,0,0,0,0
3,5177,5,0,3,4,0,0,0,0,1,0,0,0
4,3858,2,25,6,27,0,0,0,1,0,0,0,0
3,6534,5,15,5,18,0,0,0,1,0,0,0,0
3,6795,15,10,6,15,0,0,0,0,0,1,0,0
3,9736,11,45,3,6,0,0,0,0,0,1,0,0
4,7229,3,0,1,5,0,0,0,0,1,0,0,0
3,4957,4,55,4,24,0,0,0,0,0,0,1,0
4,7648,2,45,9,3,0,0,0,1,0,0,0,0
4,3873,2,30,6,15,0,0,0,0,0,0,1,0
3,14388,9,45,12,5,0,0,0,0,1,0,0,0
4,5618,2,40,6,3,0,0,0,1,0,0,0,0
3,7408,6,30,9,6,0,0,0,0,0,1,0,0
3,13774,5,30,3,3,1,0,0,0,0,0,0,0
4,4668,2,40,3,5,0,0,0,0,0,0,0,1
2,13082,34,5,3,21,0,0,0,0,1,0,0,0
3,8669,15,25,3,6,0,1,0,0,0,0,0,0
3,6316,9,30,6,24,0,0,0,1,0,0,0,0
3,12583,6,5,6,3,0,0,0,0,1,0,0,0
4,7923,2,40,9,3,0,0,0,0,0,0,0,1
3,7378,5,50,3,3,0,0,1,0,0,0,0,0
4,4878,2,45,3,6,0,0,0,0,0,0,0,1
